Item,Description,Cost,Price
6668109,O-RING,2.06,16.28
6668114,BEARING,29.23,45.95
6668137,"MOTOR, WIPER",129.58,213.41
6668198,SEAL KIT,118.68,183.26000000000002
6668510,GASKET,6.34,17.41
6668624,FUEL PUMP,126.32,188.04999999999998
6668678,GASKET,2.73,9.93
6668693,PLUG,35.41,91.28999999999999
6668694,SEAL,21.06,64.3
6668719,PIN,0.99,6.38
6668730,"MOTOR, DRIVE HYD",2423.11,3965.57
6668742,SWITCH,9.01,28.58
6668756,GASKET,63.77,127.61
6668761,BOLT,2.95,10.92
6668769,WASHER,3.96,10.98
6668770,BEARING,10.68,33.72
6668787,"RING, SNAP",2.2,11.83
6668796,LEVER,13.57,43.81
6668815,SWITCH,19.9,63.56999999999999
6668816,SWITCH,15.5,62.14
6668819,"FILTER, OIL HYD",36.02,54.3
6668820,NUT,4.1,15.85
6668881,"CORD, BLOCK HEATER",14.47,44.910000000000004
6668882,GEAR PUMP,1165.1,1545.0299999999997
6668888,WASHER,1.13,6.869999999999999
6668898,GASKET KIT,122.09,178.74
6668899,GASKET KIT LOWER,137.71,222.77
6668906,REPAIR KIT,8.87,22.86
6668927,SWITCH,14.17,45.27
6668928,"PIN, LOCK",3.27,14.12
6668945,THERMOSTAT,44.74,134.94
6669026,"HOSE, HYD ASSY",51.8,129.34
6669034,"BELT, FAN",15.74,40.13
6669057,CK VALVE,25.01,39.0
6669066,BRASSRING,3.33,14.760000000000002
6669087,SEAL KIT,12.44,40.43
6669091,CLIP,0.96,8.66
6669135,"SEAT, OPERATOR VINYL",97.38,185.02
6669186,"HEAD,CYL ENG",1475.36,2191.35
6669205,DOOR,133.29,238.0
6669210,SPRING,19.32,60.67
6669213,O RING,8.86,24.900000000000002
6669215,ORING,1.14,5.87
6669224,TAP SCREW,0.68,7.180000000000001
6669284,"ADAPTER, COUPLER",11.76,31.990000000000002
6669287,SEAL,7.08,21.229999999999997
6669303,"KIT, SEAL",211.11,299.87
6669316,CAP,3.36,13.93
6669384,WEAR SLEEVE,20.61,70.12
6669385,"PUMP,GEAR",901.26,1399.55
6669385REM,"PUMP, GEAR REMAN",669.39,1068.29
6669395,MAIN BRG,26.48,64.28
6669410,SHIM KIT,11.76,35.34
6669411,BEARING,40.37,129.96
6669415,"TIMER, SOLENOID",57.66,108.28999999999999
6669423,SHAFT,525.73,757.38
6669425,RETAINER,225.39,329.07
6669431,"KEY, SQUARE",8.2,24.490000000000002
6669432,"KIT, SEAL",107.71,187.83999999999997
6669451,FLANGE,186.7,306.98
6669455,"KIT, SEAL",89.74,157.77
6669460,HOSE,35.78,72.07000000000001
6669461,HOSE,36.13,72.39
6669530,"PUMP, OIL ENG",298.48,499.90999999999997
6669532,NUT,6.84,20.54
6669533,SOLENOID,44.36,95.53999999999999
6669534,SPOOL,149.68,234.32999999999998
6669537,ACCUMULATOR,146.2,260.28
6669549,"SOCKET, 18 GA",0.79,7.89
6669565,"BELT, DRIVE",47.59,101.96
6669570,GASKET PAN,26.53,93.9
6669586,"SEAL,OIL",18.45,50.08
6669589,BEARING,5.66,22.22
6669591,SEAL,21.55,58.519999999999996
6669618,ALTERNATOR 40 AM,124.46,233.45
6669620,PLUG,2.92,14.31
6669633,STARTER,183.65,476.98
6669643,O-RING,5.52,22.57
6669662,GAUGE,19.72,49.33
6669663,"GAUGE, COOLANT TEMP",18.0,57.510000000000005
6669664,"GAUGE, VOLT",17.79,56.85
6669665,"GAUGE, FUEL",22.02,63.64
6669674,HOSE,41.74,82.88
6669686,CONTROLLER,717.44,1226.21
6669728,CHECK VALVE,22.04,62.989999999999995
6669732,SEAL KIT,12.44,25.32
6669733,SEAL KIT,5.58,16.36
6669981,CONTROL VALVE,1232.65,1836.66
6669996,DRIVE SHAFT,417.54,574.84
6670121,HOSE,44.27,104.98000000000002
6670128,KIT SEAL,711.29,951.16
6670129,SEAL KIT,103.91,171.24
6670134,"VALVE, RELIEF",533.9,934.47
6670140,CORE,139.06,221.01
6670149,"KIT, SEAL",34.68,97.12
6670207,"FILTER, OIL HYD",61.83,96.71
6670226,ORING,1.79,9.22
6670237,SEAL,99.07,186.75
6670251,"BATTERY, DRY 530 AMP",135.99,196.87
6670270,GASKET,2.54,11.450000000000001
6670284,"LIGHT, REAR ASSY",37.7,89.92
6670287,COVER,12.53,37.01
6670288,END COUPLER,6.05,23.41
6670298,CLIP,5.17,22.81
6670312,"SWITCH, MAGNETIC",6.33,28.49
6670314,HOSE,56.57,126.36999999999999
6670315,GASKET,2.81,15.07
6670347,GASKET,0.76,8.16
6670372-66880656,"GASKET, VALVE GASKET",12.26,31.98
6670377,GASKET,1.45,11.15
6670379,GASKET,3.16,12.52
6670432,"PUMP, FUEL INJ",554.9,987.92
6670433,SHIM,2.7,13.28
6670470,GLOW PLUG,30.87,78.82
6670472,NUT,0.74,7.34
6670498,"PUMP, FUEL",124.56,210.44
6670506,PUMP ASSY,143.56,218.99
6670531,BOLT,0.94,5.34
6670536,KNOB,9.33,29.020000000000003
6670537,SEAL BULK/FT,2.4,16.17
6670555,"KIT,BELT TIMING",116.41,211.65
6670602,"SOLENOID, SHUTOFF FUEL",129.66,224.0
6670682,BEARING,2.09,6.819999999999999
6670684,CHECK VALVE,103.46,167.18
6670685,RELIEF VALVE,163.29,255.58999999999997
6670690,"BELT, DRIVE",39.43,94.63
